date,open,high,low,close,volume
2020-09-18 15:12:00,95.04,95.04,94.95,95.0,10320.0
2020-09-18 15:13:00,95.0,95.03,94.98,95.0,10747.0
2020-09-18 15:14:00,94.99,95.02,94.99,95.005,5895.0
2020-09-18 15:15:00,94.99,95.02,94.98,95.0,8748.0
2020-09-18 15:16:00,95.01,95.065,94.95,95.0,10539.0
2020-09-18 15:17:00,95.0,95.02,94.96,95.01,12565.0
2020-09-18 15:18:00,94.99,95.02,94.98,95.0,9780.0
2020-09-18 15:19:00,94.99,95.01,94.96,95.0,20927.0
2020-09-18 15:20:00,95.01,95.055,94.99,95.04,7623.0
2020-09-18 15:21:00,95.04,95.5,95.04,95.13,25582.0
2020-09-18 15:22:00,95.125,95.125,94.675,94.77,8852.0
2020-09-18 15:23:00,94.77,94.9,94.76,94.76,3854.0
2020-09-18 15:24:00,94.75,94.88,94.75,94.88,3431.0
2020-09-18 15:25:00,94.925,95.01,94.925,95.0,3792.0
2020-09-18 15:26:00,95.04,95.1,95.04,95.1,3427.0
2020-09-18 15:27:00,95.09,95.1,95.02,95.1,3652.0
2020-09-18 15:28:00,95.06,95.11,95.06,95.1,4853.0
2020-09-18 15:29:00,95.11,95.23,95.11,95.14,3797.0
2020-09-18 15:30:00,95.1,95.12,95.06,95.11,3504.0
2020-09-18 15:31:00,95.1,95.31,95.07,95.3,4769.0
2020-09-18 15:32:00,95.32,95.36,95.19,95.19,5815.0
2020-09-18 15:33:00,95.18,95.2,95.09,95.09,2914.0
2020-09-18 15:34:00,95.07,95.08,94.97,95.06,8983.0
2020-09-18 15:35:00,95.06,95.11,95.02,95.11,4380.0
2020-09-18 15:36:00,95.13,95.13,94.99,95.01,4708.0
2020-09-18 15:37:00,95.02,95.04,95.0,95.0,2454.0
2020-09-18 15:38:00,94.93,94.96,94.8,94.8,9248.0
2020-09-18 15:39:00,94.8,94.89,94.8,94.81,9090.0
2020-09-18 15:40:00,94.71,94.79,94.63,94.69,9553.0
2020-09-18 15:41:00,94.67,94.695,94.52,94.52,10302.0
2020-09-18 15:42:00,94.535,94.59,94.48,94.48,13542.0
2020-09-18 15:43:00,94.54,94.555,94.38,94.47,12291.0
2020-09-18 15:44:00,94.46,94.5,94.4,94.5,6517.0
2020-09-18 15:45:00,94.5,94.54,94.46,94.5,11204.0
2020-09-18 15:46:00,94.5,94.58,94.49,94.58,8225.0
2020-09-18 15:47:00,94.57,94.6,94.53,94.54,5730.0
2020-09-18 15:48:00,94.54,94.57,94.51,94.565,8334.0
2020-09-18 15:49:00,94.57,94.6,94.53,94.565,7921.0
2020-09-18 15:50:00,94.59,94.66,94.59,94.66,7448.0
2020-09-18 15:51:00,94.61,94.63,94.23,94.2825,64222.0
2020-09-18 15:52:00,94.27,94.31,94.11,94.14,27078.0
2020-09-18 15:53:00,94.15,94.195,93.99,94.01,30418.0
2020-09-18 15:54:00,94.02,94.04,93.87,93.91,31988.0
2020-09-18 15:55:00,93.925,94.09,93.88,93.93,30966.0
2020-09-18 15:56:00,93.97,94.11,93.76,93.865,63624.0
2020-09-18 15:57:00,93.84,93.84,93.52,93.52,47331.0
2020-09-18 15:58:00,93.52,93.64,93.41,93.43,65863.0
2020-09-18 15:59:00,93.44,93.56,93.42,93.44,91952.0
2020-09-18 16:00:00,93.45,93.82,93.45,93.79,153126.0
